Variable,Description,Data Source,Response Level,N (%)
p3m_checked_in,"In the PAST THREE MONTH, how often have you... -  sent a text/private message to someone just to check in?",Canadian Social Connection Survey,Monthly,369 (15.2)
p3m_checked_in,"In the PAST THREE MONTH, how often have you... -  sent a text/private message to someone just to check in?",Canadian Social Connection Survey,Not in the past three months,166 (6.8)
p3m_checked_in,"In the PAST THREE MONTH, how often have you... -  sent a text/private message to someone just to check in?",Canadian Social Connection Survey,Weekly,491 (20.2)
p3m_text_or_messaged,"In the PAST THREE MONTH, how often have you... -  received a text/private message from someone who was checking in with you?",Canadian Social Connection Survey,A few times a month,550 (22.6)
p3m_text_or_messaged,"In the PAST THREE MONTH, how often have you... -  received a text/private message from someone who was checking in with you?",Canadian Social Connection Survey,A few times a week,323 (13.3)
p3m_text_or_messaged,"In the PAST THREE MONTH, how often have you... -  received a text/private message from someone who was checking in with you?",Canadian Social Connection Survey,Daily or almost daily,253 (10.4)
p3m_text_or_messaged,"In the PAST THREE MONTH, how often have you... -  received a text/private message from someone who was checking in with you?",Canadian Social Connection Survey,Less than monthly,292 (12.0)
p3m_text_or_messaged,"In the PAST THREE MONTH, how often have you... -  received a text/private message from someone who was checking in with you?",Canadian Social Connection Survey,Monthly,380 (15.6)
p3m_text_or_messaged,"In the PAST THREE MONTH, how often have you... -  received a text/private message from someone who was checking in with you?",Canadian Social Connection Survey,Not in the past three months,190 (7.8)
p3m_text_or_messaged,"In the PAST THREE MONTH, how often have you... -  received a text/private message from someone who was checking in with you?",Canadian Social Connection Survey,Weekly,444 (18.3)
p3m_chat,"In the PAST THREE MONTH, how often have you... -  had an extended conversation via text or a messaging app?",Canadian Social Connection Survey,A few times a month,564 (23.3)
p3m_chat,"In the PAST THREE MONTH, how often have you... -  had an extended conversation via text or a messaging app?",Canadian Social Connection Survey,A few times a week,370 (15.3)
p3m_chat,"In the PAST THREE MONTH, how often have you... -  had an extended conversation via text or a messaging app?",Canadian Social Connection Survey,Daily or almost daily,251 (10.4)
p3m_chat,"In the PAST THREE MONTH, how often have you... -  had an extended conversation via text or a messaging app?",Canadian Social Connection Survey,Less than monthly,256 (10.6)
p3m_chat,"In the PAST THREE MONTH, how often have you... -  had an extended conversation via text or a messaging app?",Canadian Social Connection Survey,Monthly,361 (14.9)
p3m_chat,"In the PAST THREE MONTH, how often have you... -  had an extended conversation via text or a messaging app?",Canadian Social Connection Survey,Not in the past three months,173 (7.1)
p3m_chat,"In the PAST THREE MONTH, how often have you... -  had an extended conversation via text or a messaging app?",Canadian Social Connection Survey,Weekly,450 (18.6)
p3m_video_chart,"In the PAST THREE MONTH, how often have you... -  had a video chat with a friend or family member?",Canadian Social Connection Survey,A few times a month,458 (18.9)
p3m_video_chart,"In the PAST THREE MONTH, how often have you... -  had a video chat with a friend or family member?",Canadian Social Connection Survey,A few times a week,398 (16.4)
p3m_video_chart,"In the PAST THREE MONTH, how often have you... -  had a video chat with a friend or family member?",Canadian Social Connection Survey,Daily or almost daily,224 (9.3)
p3m_video_chart,"In the PAST THREE MONTH, how often have you... -  had a video chat with a friend or family member?",Canadian Social Connection Survey,Less than monthly,266 (11.0)
p3m_video_chart,"In the PAST THREE MONTH, how often have you... -  had a video chat with a friend or family member?",Canadian Social Connection Survey,Monthly,366 (15.1)
p3m_video_chart,"In the PAST THREE MONTH, how often have you... -  had a video chat with a friend or family member?",Canadian Social Connection Survey,Not in the past three months,285 (11.8)
p3m_video_chart,"In the PAST THREE MONTH, how often have you... -  had a video chat with a friend or family member?",Canadian Social Connection Survey,Weekly,423 (17.5)
p3m_group_video_chat,"In the PAST THREE MONTH, how often have you... -  had a video chat with a GROUP of friends or family?",Canadian Social Connection Survey,A few times a month,456 (18.8)
p3m_group_video_chat,"In the PAST THREE MONTH, how often have you... -  had a video chat with a GROUP of friends or family?",Canadian Social Connection Survey,A few times a week,295 (12.1)
p3m_group_video_chat,"In the PAST THREE MONTH, how often have you... -  had a video chat with a GROUP of friends or family?",Canadian Social Connection Survey,Daily or almost daily,146 (6.0)
p3m_group_video_chat,"In the PAST THREE MONTH, how often have you... -  had a video chat with a GROUP of friends or family?",Canadian Social Connection Survey,Less than monthly,289 (11.9)
p3m_group_video_chat,"In the PAST THREE MONTH, how often have you... -  had a video chat with a GROUP of friends or family?",Canadian Social Connection Survey,Monthly,361 (14.9)
p3m_group_video_chat,"In the PAST THREE MONTH, how often have you... -  had a video chat with a GROUP of friends or family?",Canadian Social Connection Survey,Not in the past three months,466 (19.2)
p3m_group_video_chat,"In the PAST THREE MONTH, how often have you... -  had a video chat with a GROUP of friends or family?",Canadian Social Connection Survey,Weekly,417 (17.2)
p3m_walk,"In the PAST THREE MONTH, how often have you... -  went for a walk with someone?",Canadian Social Connection Survey,A few times a month,537 (22.1)
p3m_walk,"In the PAST THREE MONTH, how often have you... -  went for a walk with someone?",Canadian Social Connection Survey,A few times a week,350 (14.4)
p3m_walk,"In the PAST THREE MONTH, how often have you... -  went for a walk with someone?",Canadian Social Connection Survey,Daily or almost daily,210 (8.7)
p3m_walk,"In the PAST THREE MONTH, how often have you... -  went for a walk with someone?",Canadian Social Connection Survey,Less than monthly,249 (10.3)
p3m_walk,"In the PAST THREE MONTH, how often have you... -  went for a walk with someone?",Canadian Social Connection Survey,Monthly,336 (13.8)
p3m_walk,"In the PAST THREE MONTH, how often have you... -  went for a walk with someone?",Canadian Social Connection Survey,Not in the past three months,299 (12.3)
p3m_walk,"In the PAST THREE MONTH, how often have you... -  went for a walk with someone?",Canadian Social Connection Survey,Weekly,446 (18.4)
p3m_coffee,"In the PAST THREE MONTH, how often have you... -  met someone for a meal, drink, dessert, or cup of coffee?",Canadian Social Connection Survey,A few times a month,504 (20.7)
p3m_coffee,"In the PAST THREE MONTH, how often have you... -  met someone for a meal, drink, dessert, or cup of coffee?",Canadian Social Connection Survey,A few times a week,210 (8.6)
p3m_coffee,"In the PAST THREE MONTH, how often have you... -  met someone for a meal, drink, dessert, or cup of coffee?",Canadian Social Connection Survey,Daily or almost daily,89 (3.7)
p3m_coffee,"In the PAST THREE MONTH, how often have you... -  met someone for a meal, drink, dessert, or cup of coffee?",Canadian Social Connection Survey,Less than monthly,316 (13.0)
p3m_coffee,"In the PAST THREE MONTH, how often have you... -  met someone for a meal, drink, dessert, or cup of coffee?",Canadian Social Connection Survey,Monthly,395 (16.3)
p3m_coffee,"In the PAST THREE MONTH, how often have you... -  met someone for a meal, drink, dessert, or cup of coffee?",Canadian Social Connection Survey,Not in the past three months,525 (21.6)
p3m_coffee,"In the PAST THREE MONTH, how often have you... -  met someone for a meal, drink, dessert, or cup of coffee?",Canadian Social Connection Survey,Weekly,391 (16.1)
p3m_board_games,"In the PAST THREE MONTH, how often have you... -  played a board game with others?",Canadian Social Connection Survey,A few times a month,463 (19.1)
p3m_board_games,"In the PAST THREE MONTH, how often have you... -  played a board game with others?",Canadian Social Connection Survey,A few times a week,185 (7.6)
